,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,seulement,only
3,3,police,police
4,4,aide,help
5,5,demande,request
6,6,genre,kind
7,7,mois,month
8,8,frère,brother
9,9,laisser,let
10,10,car,because
11,11,mettre,to put
12,12,aucun,no
13,13,laisse,leash
14,14,eux,them
15,15,ville,city
16,16,chaque,each
17,17,parlé,speak
18,18,arrivé,come
19,19,devrait,should
20,21,longtemps,long time
21,22,heures,hours
22,23,pendant,while
23,24,revoir,meet again
24,25,aucune,any
25,26,place,square
26,27,parle,speak
27,28,compris,understood
28,29,savais,knew
29,30,étaient,were
30,31,attention,Warning
31,32,voici,here is
32,33,pourrais,could
33,34,affaire,case
34,35,donner,give
35,36,type,type
36,37,leurs,their
37,38,donné,given
38,40,corps,body
39,41,endroit,place
40,42,yeux,eyes
41,44,dont,whose
42,45,trouve,find
43,46,premier,first
44,47,perdu,lost
45,49,première,first
46,50,côté,side
47,51,pouvoir,power
48,52,vieux,old
49,53,tiens,here
50,54,tellement,so much
51,55,enfant,child
52,56,venu,came
53,57,suite,after
54,58,pardon,sorry
55,59,venez,come
56,60,vers,towards
57,61,minutes,minutes
58,62,demandé,request
59,63,chambre,bedroom
60,64,mis,placed
61,65,droit,law
62,67,aujourd'hui,today
63,69,cause,cause
64,70,enfin,finally
65,71,espère,hope
66,72,eau,water
67,73,attendez,Wait
68,74,parti,left
69,75,nouvelle,new
70,76,boulot,job
71,77,arrêter,Stop
72,78,dirait,would say
73,79,terre,Earth
74,80,compte,account
75,81,loin,far
76,82,fin,end
77,84,plutôt,rather
78,85,aura,will have
79,86,filles,girls
80,87,jouer,to play
81,88,bureau,office
